,C:\Users\jib746\Downloads\HS_data\Good3_filt.c3d,C:\Users\jib746\Downloads\HS_data\Good3_filt.c3d,C:\Users\jib746\Downloads\HS_data\Good3_filt.c3d,C:\Users\jib746\Downloads\HS_data\Good3_filt.c3d,C:\Users\jib746\Downloads\HS_data\Good3_filt.c3d,C:\Users\jib746\Downloads\HS_data\Good3_filt.c3d,C:\Users\jib746\Downloads\HS_data\Good3_filt.c3d,C:\Users\jib746\Downloads\HS_data\Good3_filt.c3d,C:\Users\jib746\Downloads\HS_data\Good3_filt.c3d,C:\Users\jib746\Downloads\HS_data\Good3_filt.c3d,C:\Users\jib746\Downloads\HS_data\Good3_filt.c3d,C:\Users\jib746\Downloads\HS_data\Good3_filt.c3d,C:\Users\jib746\Downloads\HS_data\Good3_filt.c3d,C:\Users\jib746\Downloads\HS_data\Good3_filt.c3d,C:\Users\jib746\Downloads\HS_data\Good3_filt.c3d,C:\Users\jib746\Downloads\HS_data\Good3_filt.c3d,C:\Users\jib746\Downloads\HS_data\Good3_filt.c3d,C:\Users\jib746\Downloads\HS_data\Good3_filt.c3d,C:\Users\jib746\Downloads\HS_data\Good3_filt.c3d,C:\Users\jib746\Downloads\HS_data\Good3_filt.c3d,C:\Users\jib746\Downloads\HS_data\Good3_filt.c3d,C:\Users\jib746\Downloads\HS_data\Good3_filt.c3d,C:\Users\jib746\Downloads\HS_data\Good3_filt.c3d,C:\Users\jib746\Downloads\HS_data\Good3_filt.c3d
,L_Hip_Accel,L_Hip_Accel,L_Hip_Accel,L_Hip_Angle,L_Hip_Angle,L_Hip_Angle,L_Knee_Accel,L_Knee_Accel,L_Knee_Accel,L_Knee_Angle,L_Knee_Angle,L_Knee_Angle,R_Hip_Accel,R_Hip_Accel,R_Hip_Accel,R_Hip_Angle,R_Hip_Angle,R_Hip_Angle,R_Knee_Angle,R_Knee_Angle,R_Knee_Angle,R_Knee_Accel,R_Knee_Accel,R_Knee_Accel
,LINK_MODEL_BASED,LINK_MODEL_BASED,LINK_MODEL_BASED,LINK_MODEL_BASED,LINK_MODEL_BASED,LINK_MODEL_BASED,LINK_MODEL_BASED,LINK_MODEL_BASED,LINK_MODEL_BASED,LINK_MODEL_BASED,LINK_MODEL_BASED,LINK_MODEL_BASED,LINK_MODEL_BASED,LINK_MODEL_BASED,LINK_MODEL_BASED,LINK_MODEL_BASED,LINK_MODEL_BASED,LINK_MODEL_BASED,LINK_MODEL_BASED,LINK_MODEL_BASED,LINK_MODEL_BASED,LINK_MODEL_BASED,LINK_MODEL_BASED,LINK_MODEL_BASED
,ORIGINAL,ORIGINAL,ORIGINAL,ORIGINAL,ORIGINAL,ORIGINAL,ORIGINAL,ORIGINAL,ORIGINAL,ORIGINAL,ORIGINAL,ORIGINAL,ORIGINAL,ORIGINAL,ORIGINAL,ORIGINAL,ORIGINAL,ORIGINAL,ORIGINAL,ORIGINAL,ORIGINAL,ORIGINAL,ORIGINAL,ORIGINAL
ITEM,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
13,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
14,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
15,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
